steps,returns
"[   1  101  201  301  401  501  601  701  801  901 1001 1101 1201 1301
 1401 1501 1601 1701 1801 1901 2001]","[   1  101  201  301  401  501  601  701  801  901 1001 1101 1201 1301
 1401 1501 1601 1701 1801 1901 2001]"
"[   1  101  201  301  401  501  601  701  801  901 1001 1101 1201 1301
 1401 1501 1601 1701 1801 1901 2001]","[-0.00475     0.092375   -0.006375    0.093875    0.09274999 -0.003375
 -0.00475    -0.00475     0.19412498  0.094       0.29287499  0.094
  0.09424999  0.19512498 -0.004875    0.094      -0.0045     -0.0055
  0.09424999  0.19437499  0.19362497]"
